anatomical structure,RID13390.Anatomy
body region,RID6062.Anatomy
subdivision of organ system,RID13206.Anatomy
region of organ component,RID13415.Anatomy
anatomical anomaly,RID38804.Anatomy
acellular anatomical structure,RID13308.Anatomy
cardinal organ part,RID13214.Anatomy
organ,RID13203.Anatomy
organ system,RID13205.Anatomy
anatomic sub-part,RID5945.Anatomy
portion of tissue,RID13298.Anatomy
biological macromolecule,RID39159.Anatomy
normal variant,RID13212.Anatomy
cell,RID39348.Anatomy
cardinal body part,RID13200.Anatomy
anatomical passageway,RID13266.Anatomy
cardinal tissue part,RID13285.Anatomy
anatomical cluster,RID13290.Anatomy
subdivision of cardinal body part,RID13281.Anatomy
human body,RID13182.Anatomy
mouth to anus,RID43580.Anatomy
musculoskeletal region,RID6063.Anatomy
brain region,RID6390.Anatomy
vascular region,RID28822.Anatomy
pituitary region,RID28679.Anatomy
adrenal region,RID28722.Anatomy
intraoral region,RID28841.Anatomy
bronchocentric,RID28500.Anatomy
cardiac region,RID28682.Anatomy
maxillofacial region,RID35812.Anatomy
sub-diaphragm region,RID35778.Anatomy
perirectal region,RID28680.Anatomy
subpleural region,RID13434.Anatomy
whole body,RID39569.Anatomy
single duct,RID45708.Anatomy
craniofacial body region,RID38756.Anatomy
spinal region,RID36013.Anatomy
additional body region,RID36023.Anatomy
mastoid region,RID35754.Anatomy
additional area same body region,RID39556.Anatomy
multiple areas same body region,RID43701.Anatomy
petromastoid region,RID28718.Anatomy
multiple ducts,RID45707.Anatomy
skull base to mid-thigh,RID39570.Anatomy
flexor muscle,RID6064.Anatomy
bone region,RID6098.Anatomy
extensor muscle,RID6065.Anatomy
Gruen zone,RID6110.Anatomy
osseous head,RID6101.Anatomy
osseous neck,RID6102.Anatomy
physis,RID6113.Anatomy
facet,RID6118.Anatomy
articular facet,RID6119.Anatomy
temporal brain region,RID6392.Anatomy
occipital brain region,RID6393.Anatomy
frontal brain region,RID6391.Anatomy
frontotemporal brain region,RID6396.Anatomy
temporoparietal brain region,RID6397.Anatomy
parietal brain region,RID6394.Anatomy
frontoparietal brain region,RID6395.Anatomy
microcirculation,RID38757.Anatomy
single spinal level,RID36015.Anatomy
multiple spinal levels,RID36014.Anatomy
cervicothoracic spine region,RID28726.Anatomy
thoracolumbar spine region,RID35809.Anatomy
additional spinal level,RID36024.Anatomy
thoracic spine region,RID28677.Anatomy
lumbosacral spine region,RID28733.Anatomy
lumbar spine region,RID28675.Anatomy
sacral spine region,RID28676.Anatomy
cervical spine region,RID28674.Anatomy
subdivision of cardiovascular system,RID13225.Anatomy
respiratory tract,RID39190.Anatomy
subdivision of respiratory tract,RID39191.Anatomy
subdivision of alimentary system,RID13411.Anatomy
urinary tract,RID204.Anatomy
subdivision of skeletal system,RID13207.Anatomy
lungs,RID13437.Anatomy
skeletal system,RID13208.Anatomy
venous system,RID13184.Anatomy
arterial system,RID13183.Anatomy
upper respiratory tract,RID39192.Anatomy
lower respiratory tract,RID39193.Anatomy
gastrointestinal tract,RID94.Anatomy
subdivision of gastrointestinal system,RID29664.Anatomy
pancreaticobiliary system,RID169.Anatomy
gut,RID29667.Anatomy
subdivision of gut,RID29668.Anatomy
upper gastrointestinal tract,RID29665.Anatomy
biliary system,RID28753.Anatomy
lower gastrointestinal tract,RID29666.Anatomy
foregut,RID29669.Anatomy
midgut,RID29670.Anatomy
intestine,RID130.Anatomy
hindgut,RID29671.Anatomy
wall of orbit,RID38635.Anatomy
clivus,RID9332.Anatomy
region of wall of orbit,RID38636.Anatomy
skull,RID9196.Anatomy
subdivision of skull,RID28598.Anatomy
spine,RID7741.Anatomy
subdivision of axial skeletal system,RID34570.Anatomy
floor of orbit,RID9584.Anatomy
lateral wall of orbit,RID9586.Anatomy
medial wall of orbit,RID9587.Anatomy
roof of orbit,RID9582.Anatomy
orbit,RID9573.Anatomy
zygomatic arch,RID28599.Anatomy
base of cranium,RID28731.Anatomy
subdivision of vertebral column,RID35749.Anatomy
lumbar vertebral column,RID34573.Anatomy
cervical vertebral column,RID34571.Anatomy
thoracolumbar vertebral column,RID35771.Anatomy
thoracic vertebral column,RID34572.Anatomy
coccygeal segment,RID2525.Anatomy
lumbothoracic vertebral column,RID35720.Anatomy
lumbosacral spine,RID43554.Anatomy
anterior spinal column,RID6137.Anatomy
middle spinal column,RID6138.Anatomy
posterior spinal column,RID6139.Anatomy
cornu of coccyx,RID2526.Anatomy
region of wall of large intestine,RID32929.Anatomy
region of serous membrane,RID34900.Anatomy
region of stroma,RID34944.Anatomy
circumventricular organ of neuraxis,RID13849.Anatomy
region of dura mater,RID13729.Anatomy
region of membranous labyrinth of internal ear,RID34866.Anatomy
wall of lymphatic vessel,RID29794.Anatomy
region of gastric gland,RID30667.Anatomy
septum of organ,RID34905.Anatomy
region of cardiac septum,RID34902.Anatomy
region of conjunctiva,RID38634.Anatomy
region of peritoneum,RID31164.Anatomy
region of lobe of transition zone of prostate,RID38872.Anatomy
region of organ component of kidney,RID31760.Anatomy
region of adrenal cortex,RID31121.Anatomy
endometrium of zone of uterus,RID31682.Anatomy
region of carotid canal,RID39522.Anatomy
subserosa of organ region,RID31484.Anatomy
region of vascular layer of eyeball,RID39368.Anatomy
region of mesentery,RID33464.Anatomy
fibromuscular part of zone of prostate,RID38831.Anatomy
region of lacrimal canaliculus,RID38633.Anatomy
region of cerebral cortex,RID13497.Anatomy
region of layer of wall of eyeball,RID39363.Anatomy
region of transition zone of prostate,RID43415.Anatomy
region of cervical fascia,RID38673.Anatomy
region of wall of uterine tube,RID30539.Anatomy
wall of zone of uterus,RID29803.Anatomy
region of wall of ureter,RID30410.Anatomy
wall of pancreatic duct,RID32877.Anatomy
wall of lymphatic duct subtree,RID30973.Anatomy
region of mucosa,RID29288.Anatomy
region of visceral serous pericardium,RID34899.Anatomy
region of wall of ejaculatory duct,RID38943.Anatomy
region of ventricular system of neuraxis,RID15724.Anatomy
region of wall of ventricular system of neuraxis,RID13821.Anatomy
region of wall of arachnoid,RID13782.Anatomy
region of peri-urethral zone of prostate,RID38982.Anatomy
region of ileocecal valve,RID33255.Anatomy
serosa of organ region,RID30584.Anatomy
region of wall of urinary bladder,RID33696.Anatomy
distal zone of muscle organ,RID43204.Anatomy
region of tendon,RID41949.Anatomy
papilla of parotid duct,RID9953.Anatomy
villus,RID29655.Anatomy
region of parenchyma of spleen,RID31697.Anatomy
region of wall of small intestine,RID31411.Anatomy
head of part of muscle organ,RID42155.Anatomy
wall of pancreatic duct tree,RID30206.Anatomy
muscle layer of region of uterine tube,RID29297.Anatomy
region of wall of stomach,RID30208.Anatomy
carina,RID1248.Anatomy
region of muscle body,RID40489.Anatomy
region of wall of male urethra,RID39022.Anatomy
region of wall of prostatic part of urethra,RID43513.Anatomy
region of wall of anal canal,RID39062.Anatomy
portal triad,RID30759.Anatomy
region of prostatic capsule,RID43431.Anatomy
region of submucosa,RID29221.Anatomy
region of peripheral zone of prostate,RID38957.Anatomy
region of skeletal muscle body,RID46580.Anatomy
region of muscle layer of organ,RID29385.Anatomy
myometrium of zone of uterus,RID30679.Anatomy
region of leptomeningeal sac,RID13763.Anatomy
region of ejaculatory duct,RID38965.Anatomy
region of wall of esophagus,RID31132.Anatomy
surface papilla,RID30089.Anatomy
wall of pancreatic acinus,RID32862.Anatomy
anatomical fold,RID13289.Anatomy
region of wall of biliary tree,RID30684.Anatomy
region of wall of heart,RID39297.Anatomy
region of muscle layer of urethra,RID43500.Anatomy
head proper of muscle organ,RID39575.Anatomy
