Radlex descriptor,RID6.Modifier
density descriptor,RID6041.Modifier
imaging technique descriptor,RID28642.Modifier
speed descriptor,RID34327.Modifier
width descriptor,RID29057.Modifier
selective,RID46076.Modifier
change descriptor,RID39449.Modifier
investigational,RID11697.Modifier
margin characteristic,RID5706.Modifier
surgery descriptor,RID6412.Modifier
pathophysiologic process descriptor,RID7466.Modifier
status descriptor,RID5683.Modifier
workflow term,RID45812.Modifier
quantity descriptor,RID5761.Modifier
anatomically-related descriptor,RID39102.Modifier
physiological condition descriptor,RID39085.Modifier
motion descriptor,RID5921.Modifier
morphologic descriptor,RID5863.Modifier
risk level descriptor,RID46066.Modifier
imaging procedure descriptor,RID7480.Modifier
generalized descriptor,RID45653.Modifier
imaging observation descriptor,RID7464.Modifier
flow direction descriptor,RID29005.Modifier
stage of healing descriptor,RID6351.Modifier
thickness descriptor,RID28671.Modifier
normality descriptor,RID29001.Modifier
color descriptor,RID38814.Modifier
uniformity descriptor,RID43293.Modifier
patient descriptor,RID5638.Modifier
temporal descriptor,RID5716.Modifier
composition descriptor,RID5738.Modifier
certainty descriptor,RID29.Modifier
phase descriptor,RID38747.Modifier
location descriptor,RID5817.Modifier
quality descriptor,RID39077.Modifier
aggressiveness descriptor,RID5675.Modifier
orientation descriptor,RID5851.Modifier
size descriptor,RID5772.Modifier
function descriptor,RID39410.Modifier
modality descriptor,RID10370.Modifier
disease origin descriptor,RID5657.Modifier
enumeration term,RID5995.Modifier
homogeneously dense,RID43294.Modifier
iso- to slightly hypodense,RID45673.Modifier
ossific,RID45796.Modifier
hyperdense,RID6044.Modifier
non-sclerotic,RID45741.Modifier
iso- to slightly hyperdense,RID45674.Modifier
hypodense,RID6042.Modifier
equal density,RID6043.Modifier
low density,RID34243.Modifier
extremely dense,RID34276.Modifier
heterogeneously dense,RID34275.Modifier
chondroid,RID45725.Modifier
sclerotic,RID45724.Modifier
high density,RID34240.Modifier
mixed sclerotic and non-sclerotic,RID45748.Modifier
lytic,RID45729.Modifier
lucent,RID45728.Modifier
thin sclerotic,RID45740.Modifier
thick sclerotic,RID45739.Modifier
mixed lytic and sclerotic,RID45723.Modifier
extended,RID45660.Modifier
spot compression,RID28657.Modifier
direct coronal,RID28646.Modifier
M-mode,RID10915.Modifier
roll medial,RID28655.Modifier
cleavage,RID28644.Modifier
modulus,RID28831.Modifier
secretin,RID28656.Modifier
orthogonal,RID28653.Modifier
axillary tail,RID28643.Modifier
roll lateral,RID28654.Modifier
magnification,RID28651.Modifier
nipple markers,RID28652.Modifier
thin section,RID36016.Modifier
slow,RID34328.Modifier
rapid,RID34329.Modifier
narrow,RID10410.Modifier
wide,RID39187.Modifier
threshold growth (liver mass),RID43350.Modifier
diameter reduction,RID39447.Modifier
perfusion alteration,RID39473.Modifier
disappearance,RID39562.Modifier
decreased in height,RID5785.Modifier
diameter increase,RID39460.Modifier
treatment technique,RID6417.Modifier
radical,RID6419.Modifier
laser treatment,RID6428.Modifier
transcatheter,RID48091.Modifier
transperineal,RID6422.Modifier
retropubic,RID6423.Modifier
modified radical,RID6420.Modifier
laparoscopic,RID6421.Modifier
trans-vaginal,RID6426.Modifier
transabdominal,RID6427.Modifier
transcutaneous,RID6424.Modifier
transurethral,RID6425.Modifier
cardiomyopathy descriptor,RID6280.Modifier
varices descriptor,RID6270.Modifier
arthritis descriptor,RID6286.Modifier
renal ectopia descriptor,RID6265.Modifier
mass descriptor,RID6262.Modifier
bone pathophysiologic process descriptor,RID6295.Modifier
hormonal pathophysiologic process descriptor,RID6361.Modifier
effusion descriptor,RID6365.Modifier
head pathophsiologic process observation descriptor,RID6398.Modifier
aortic dissection descriptor,RID6369.Modifier
infiltrative,RID6282.Modifier
restrictive,RID6283.Modifier
congestive,RID6281.Modifier
hypertrophic,RID6284.Modifier
ischemic,RID6285.Modifier
uphill,RID6271.Modifier
downhill,RID6272.Modifier
periarticular,RID6294.Modifier
arthritis serology,RID6291.Modifier
amount of joint involvement,RID6287.Modifier
seropositive,RID6293.Modifier
seronegative,RID6292.Modifier
monoarticular,RID6288.Modifier
polyarticular,RID6289.Modifier
pauciarticular,RID6290.Modifier
fused,RID6268.Modifier
unfused,RID6269.Modifier
crossed,RID6266.Modifier
uncrossed,RID6267.Modifier
intraparenchymal,RID6264.Modifier
exophytic,RID6263.Modifier
bone forming characteristic,RID6296.Modifier
osteolytic,RID6297.Modifier
osteosclerotic,RID6298.Modifier
feminizing,RID6364.Modifier
virilizing,RID6362.Modifier
androgen producing,RID6363.Modifier
exudate,RID6367.Modifier
chylous,RID6368.Modifier
watershed,RID6408.Modifier
territorial,RID6406.Modifier
transependymal,RID6407.Modifier
semilobar,RID6400.Modifier
gyriform,RID6401.Modifier
alobar,RID6399.Modifier
pachymeningeal,RID6404.Modifier
suprasellar,RID6405.Modifier
hemispheric,RID6402.Modifier
leptomeningeal,RID6403.Modifier
Stanford type A,RID6370.Modifier
Stanford type B,RID6371.Modifier
DeBakey type III,RID6374.Modifier
DeBakey type I,RID6372.Modifier
DeBakey type II,RID6373.Modifier
major,RID5692.Modifier
mild,RID5671.Modifier
global,RID5693.Modifier
minor,RID5691.Modifier
advanced,RID38799.Modifier
diameter stability,RID39448.Modifier
asymptomatic,RID38811.Modifier
marked,RID34299.Modifier
unchanged,RID39268.Modifier
extensive,RID5685.Modifier
incomplete,RID5686.Modifier
mature,RID39266.Modifier
limited,RID5684.Modifier
unstable,RID39183.Modifier
complete,RID5689.Modifier
progressive,RID39162.Modifier
partial,RID5687.Modifier
aborted,RID49455.Modifier
callback,RID45701.Modifier
age appropriate,RID5696.Modifier
symptomatic,RID39176.Modifier
corrected,RID5697.Modifier
insignificant,RID39112.Modifier
moderate,RID5672.Modifier
severe,RID5673.Modifier
worsening,RID39271.Modifier
decreased,RID36044.Modifier
decreasing,RID5733.Modifier
stable,RID5734.Modifier
increased,RID36043.Modifier
increasing,RID5732.Modifier
ChangedProtocol,RID45840.Modifier
ClinHx,RID45842.Modifier
ClinFollow,RID45841.Modifier
AutomatedProcessingComplete,RID45833.Modifier
AudioTransmit,RID45832.Modifier
delay code,RID45953.Modifier
BaseImagesComplete,RID45835.Modifier
AutomatedProcessingStart,RID45834.Modifier
BillRejection,RID45837.Modifier
Billed,RID45836.Modifier
ChangedCPTOrderedProcedure,RID45839.Modifier
PtChanged,RID45838.Modifier
FirstImage,RID46001.Modifier
ProcedureStart,RID46000.Modifier
EarlyExamTermination,RID46003.Modifier
ContrastComplication,RID46002.Modifier
Tracerinject,RID45950.Modifier
PatientSurvey,RID45952.Modifier
AttemptedCritNotify,RID45831.Modifier
TracerOrder,RID45951.Modifier
ArchiveCommit,RID45830.Modifier
Alert,RID45829.Modifier
TransportOrdered,RID45822.Modifier
create Teaching File,RID45943.Modifier
PtAccept,RID45821.Modifier
talk to patient,RID45942.Modifier
Transferred,RID45945.Modifier
protocol specified,RID45824.Modifier
Transcribed,RID45944.Modifier
DataAcquired,RID45826.Modifier
VitalsMonitor,RID45947.Modifier
Pt Arrived,RID45825.Modifier
TriageRpt,RID45946.Modifier
techdosedetails,RID45949.Modifier
AdmitPtRecovery,RID45828.Modifier
Apptconfirmation,RID45948.Modifier
AdmitIRPtRounds,RID45827.Modifier
StatOrder,RID45941.Modifier
Enterprise ID Remap,RID45820.Modifier
Split acquisition,RID45940.Modifier
Precert,RID45819.Modifier
Sendback,RID45939.Modifier
PtNotify,RID45818.Modifier
PatientOut,RID45899.Modifier
image review,RID45932.Modifier
PatientMerge,RID45898.Modifier
ResultsViewed,RID45931.Modifier
RoomAssigned,RID45934.Modifier
OrderCreated,RID45813.Modifier
RNSafetyCheck,RID45933.Modifier
ApptTime,RID45815.Modifier
RoomCleaned,RID45936.Modifier
TimeScheduled,RID45814.Modifier
RoomAvailable,RID45935.Modifier
SedationEval,RID45938.Modifier
MobileLvDept,RID45817.Modifier
SampleSent,RID45937.Modifier
MobileArrivePt,RID45816.Modifier
Exam Markup,RID45891.Modifier
LaunchApplicationForInterpretation,RID45890.Modifier
Exam Opened,RID45893.Modifier
NursePrep,RID45892.Modifier
OrderReceived,RID45895.Modifier
OralContrastAdmin,RID45894.Modifier
ResultsAcknowledged,RID45930.Modifier
PatientIn,RID45897.Modifier
OrderSupplies,RID45896.Modifier
RespondConsult,RID45929.Modifier
ReqLabsReported,RID45928.Modifier
IVInjectionContrastEnded,RID45888.Modifier
RemapDICOMID,RID45921.Modifier
IRTechSterilePrep,RID45887.Modifier
PtSentToNursingCheck,RID45920.Modifier
RemapProcedureName,RID45923.Modifier
RemapHL7ID,RID45922.Modifier
IVContrastStart,RID45889.Modifier
ReqConsult,RID45925.Modifier
Final report approved,RID45924.Modifier
ReqLabsReviewed,RID45927.Modifier
ReqLabsOrdered,RID45926.Modifier
IRPostProcMonitoring,RID45880.Modifier
IRProcedureStart,RID45882.Modifier
IRProcedureComplete,RID45881.Modifier
IRRoomReady,RID45884.Modifier
IRPtRecovery,RID45883.Modifier
IRTechRoomPrep,RID45886.Modifier
IRRoomTurnover,RID45885.Modifier
PtInfoFormGivenToPatient,RID45918.Modifier
ProcPause,RID45917.Modifier
PtSentToChangeAttire,RID45919.Modifier
IRMaterialUsage,RID45877.Modifier
PrelimDic,RID45910.Modifier
IRImageSelect,RID45876.Modifier
PrelimTrx,RID45912.Modifier
IRPatientAdmitHospital,RID45879.Modifier
PrelimPublish,RID45911.Modifier
IRNursePrep,RID45878.Modifier
images prepared,RID45914.Modifier
PrelimView,RID45913.Modifier
ProcedureReady,RID45916.Modifier
PreProcCoord,RID45915.Modifier
ImagesStoredInArchive,RID45871.Modifier
HumanProcStart,RID45870.Modifier
InformedConsent,RID45873.Modifier
ImportImage,RID45872.Modifier
IRPre-Procedure,RID45875.Modifier
InterpStarted,RID45874.Modifier
PrefetchCompleted,RID45907.Modifier
PrecertRequest,RID45906.Modifier
PreImageConsult,RID45909.Modifier
PrefetchIssued,RID45908.Modifier
GeneralAnesthesiaEnded,RID45866.Modifier
FinalPublish,RID45865.Modifier
PeerReviewCompleted,RID45901.Modifier
HoldSame,RID45868.Modifier
PatientReady,RID45900.Modifier
