pathophysiologic finding,RID4736.Observation
actionable finding,RID49479.Observation
disease spread,RID5230.Observation
degenerative disorder,RID5043.Observation
infectious or inflammatory disease,RID3381.Observation
body system-specific disorder,RID7473.Observation
paraneoplastic syndrome,RID5360.Observation
iatrogenic disorder,RID4590.Observation
death,RID34658.Observation
neoplastic disease,RID34615.Observation
deficiency disorder,RID34648.Observation
developmental disorder,RID34717.Observation
disease progression,RID29041.Observation
congenital disorder,RID35738.Observation
multisystem disorder,RID39206.Observation
specimen,RID38777.Observation
proliferation,RID34783.Observation
metabolic disease,RID34413.Observation
injury,RID4628.Observation
mechanical disorder,RID4738.Observation
disorder of pregnancy,RID34784.Observation
fetal abnormality,RID39546.Observation
disorder caused by drugs or toxins,RID4564.Observation
growth disorder,RID3730.Observation
motor dysfunction,RID5238.Observation
category 2 actionable finding,RID49481.Observation
category 3 actionable finding,RID49482.Observation
category 1 actionable finding,RID49480.Observation
metastasis,RID5231.Observation
direct extension,RID5234.Observation
lymphangitic spread,RID5235.Observation
hematogenous spread,RID5236.Observation
perineural spread,RID5237.Observation
metastasis by lymphatic and interstitial infiltration,RID5232.Observation
necrosis,RID5171.Observation
pseudoxanthoma elasticum,RID3271.Observation
deposition,RID5187.Observation
ossification,RID5223.Observation
degeneration,RID5045.Observation
resorption,RID5222.Observation
infarction,RID5172.Observation
osteonecrosis,RID5180.Observation
papillary necrosis,RID5186.Observation
avascular necrosis,RID34605.Observation
infarction of spleen,RID5175.Observation
stroke,RID5178.Observation
infarction of spleen causing small nonfunctioning spleen,RID5176.Observation
Ahlbäck disease,RID29058.Observation
Blount disease,RID29059.Observation
Pierson disease,RID29078.Observation
Preiser disease,RID29079.Observation
Milch disease,RID29076.Observation
Liffert-Arkin disease,RID29074.Observation
Mandi disease,RID29075.Observation
Kummel disease,RID29072.Observation
Iselin disease,RID29070.Observation
osteochondrosis,RID5369.Observation
Kienbock disease,RID5182.Observation
Panner disease,RID5183.Observation
dysbaric osteonecrosis,RID5181.Observation
Theimann disease,RID5184.Observation
Sinding-Larsen-Johansson disease,RID5185.Observation
Hicks disease,RID29069.Observation
Friedrich disease,RID29067.Observation
Haas disease,RID29068.Observation
Dietrich disease,RID29065.Observation
Caffey disease,RID29063.Observation
Dias disease,RID29064.Observation
Buchman disease,RID29061.Observation
Mauclaire disease,RID29083.Observation
