certainty descriptor,RID29.Uncertainty
not applicable,RID46056.Uncertainty
no,RID28475.Uncertainty
yes,RID28474.Uncertainty
almost certainly not,RID28471.Uncertainty
almost certainly,RID38.Uncertainty
definitely not,RID39.Uncertainty
equivocal,RID39147.Uncertainty
indeterminate,RID39110.Uncertainty
certainty of HCC,RID43303.Uncertainty
uncertain,RID39177.Uncertainty
definitely,RID31.Uncertainty
definite,RID39047.Uncertainty
probably,RID33.Uncertainty
suggestive,RID39481.Uncertainty
possibly,RID34.Uncertainty
known,RID39120.Uncertainty
suspected,RID39175.Uncertainty
probably not,RID36.Uncertainty
unknown,RID5655.Uncertainty
indeterminate or low suspicion for HCC,RID43301.Uncertainty
histologically confirmed HCC,RID43302.Uncertainty
high suspicion for HCC,RID43304.Uncertainty
